instance_name,time_seconds,objective_value,jain_fairness,num_vehicles,algorithm,instance_size
instance19_nreq100_nveh2_gamma86,0.002805,9421.021963,0.999639,2,deterministic,100
instance3_nreq100_nveh2_gamma93,0.003033,9749.22557,0.994798,2,deterministic,100
instance15_nreq100_nveh2_gamma89,0.002801,8906.010408,0.99976,2,deterministic,100
instance7_nreq100_nveh2_gamma85,0.003011,8751.041328,0.998282,2,deterministic,100
instance8_nreq100_nveh2_gamma86,0.002854,9323.037329,0.99918,2,deterministic,100
instance27_nreq100_nveh2_gamma90,0.002775,9566.000862,0.999986,2,deterministic,100
instance25_nreq100_nveh2_gamma93,0.003117,10054.022599,0.999504,2,deterministic,100
instance29_nreq100_nveh2_gamma92,0.002856,9382.860868,0.978521,2,deterministic,100
instance6_nreq100_nveh2_gamma89,0.002795,9448.071342,0.998737,2,deterministic,100
instance1_nreq100_nveh2_gamma89,0.002859,9841.042076,0.999138,2,deterministic,100
instance9_nreq100_nveh2_gamma91,0.000145,10172.207408,0.995655,2,random,100
instance26_nreq100_nveh2_gamma89,0.000138,9690.095858,0.998366,2,random,100
instance14_nreq100_nveh2_gamma94,0.000138,10105.139466,0.998251,2,random,100
instance4_nreq100_nveh2_gamma93,0.000131,10303.025065,0.999573,2,random,100
instance12_nreq100_nveh2_gamma91,0.000143,9910.01358,0.999739,2,random,100
instance22_nreq100_nveh2_gamma89,0.000128,9730.708909,0.988139,2,random,100
instance11_nreq100_nveh2_gamma88,0.000113,9144.535767,0.987947,2,random,100
instance18_nreq100_nveh2_gamma87,0.000125,9495.157223,0.995547,2,random,100
instance10_nreq100_nveh2_gamma98,0.000143,10057.018247,0.999568,2,random,100
instance28_nreq100_nveh2_gamma93,0.000162,9884.112527,0.995954,2,random,100
instance5_nreq100_nveh2_gamma88,0.000119,9474.091946,0.993606,2,random,100
instance30_nreq100_nveh2_gamma89,0.000122,8987.040842,0.997893,2,random,100
instance13_nreq100_nveh2_gamma89,0.000132,10128.176236,0.992675,2,random,100
instance24_nreq100_nveh2_gamma84,0.000147,8471.048758,0.998619,2,random,100
